Numero,Titre,Lien,Etat,Type,Phase,Statut_traitement,Description
1,ERROR: Entering a unknown email crashes the app,https://github.com/OpenClassrooms-Student-Center/Python_Testing/issues/1,Open,Bug critique,Phase 1,A faire,"When:  A user types in an email not found in the system   Then:      App crashes   Expected:          Code should be written to ensure that if something goes wrong (like the email isn't found), the error is caught and handled. Display an error message like ""Sorry, that email wasn't found.""     The summary should be displayed to the user when a correct email is entered."
2,BUG: Clubs should not be able to use more than their points allowed,https://github.com/OpenClassrooms-Student-Center/Python_Testing/issues/2,Open,Bug,Phase 1,A faire,"When:     A secretary redeems more points than they have available, which would leave them in the negative   Then:      They receive a confirmation message   Expected:      They should not be able to redeem more points than available; this should be done within the UI.      The redeemed points should be correctly deducted from the club's total."
3,BUG: Clubs shouldn't be able to book more than 12 places per competition,https://github.com/OpenClassrooms-Student-Center/Python_Testing/issues/3,Closed,Bug,,Info seulement,When:     A secretary tries to book more than 12 places in one competition   Then:     Those places are confirmed   Expected:      They should be able to book no more than 12 places     The UI should prevent them from booking more than 12 places
4,BUG: Clubs shouldn't be able to book more than 12 places per competition,https://github.com/OpenClassrooms-Student-Center/Python_Testing/issues/4,Open,Bug,Phase 1,A faire,When:     A secretary tries to book more than 12 places in one competition   Then:     Those places are confirmed   Expected:      They should be able to book no more than 12 places.     The UI should prevent them from booking more than 12 places.      The places are correctly deducted from the competition.
5,BUG: Booking places in past competitions,https://github.com/OpenClassrooms-Student-Center/Python_Testing/issues/5,Open,Bug,Phase 1,A faire,Given:     A secretary wishes to book a number of places for a competition   When:      They book a number of places on a competition that has happened in the past   Then:      They receive a confirmation message   Expected:       They should not be able to book a place on a post-dated competition (but past competitions should be visible).   The booking.html page should be displayed for a valid competition.    An error message is displayed when a competition is invalid and a confirmation message is displayed when a competition is valid.
6,BUG: Point updates are not reflected,https://github.com/OpenClassrooms-Student-Center/Python_Testing/issues/6,Open,Bug,Phase 1,A faire,Given:     A club secretary wishes to redeem points for a place in a competition   When:     The number of places is confirmed   Then:      The amount of club points available remain the same   Expected:       The amount of points used should be deducted from the club's balance.
7,FEATURE: Implement Points Display Board,https://github.com/OpenClassrooms-Student-Center/Python_Testing/issues/7,Open,Feature,Phase 2,A faire,When:     A secretary logs into the app   Then:     They should be able to see the list of clubs and their associated current points balance
38,erreur à supprimer,https://github.com/OpenClassrooms-Student-Center/Python_Testing/issues/38,Closed,Vide,,Info seulement,
132,BUG: Clubs shouldn't be able to book more than 12 places per competition #3,https://github.com/OpenClassrooms-Student-Center/Python_Testing/issues/132,Closed,Bug (note),,Info seulement,"sorry, bug #3 replace with bug #4"
269,FEATURE: Implement Points Display Board #7,https://github.com/OpenClassrooms-Student-Center/Python_Testing/issues/269,Closed,Feature (note),,Info seulement,FEATURE: Implement Points Display Board #7  Implémentation de l'affichage des points des clubs issue #7
282,BUG: Clubs should not be able to book more than the competition places available,https://github.com/OpenClassrooms-Student-Center/Python_Testing/issues/282,Open,Bug,Phase 1,A faire,"When:   A secretary reserves more places than available for the competition, which would leave them in the negative  Then:  ```bash They receive a confirmation message ``` ![Image](https://github.com/user-attachments/assets/57893f30-3251-4fab-8ba7-c0e92f87c2fa)  Expected:  ```bash They should not be able to reserve more than the competition places available The competition places should be correctly deducted from the total ```"
